"Envelope_ID","PopName","Pop_ID","PopCode2.x","Date_collected","stems","Clump_size","Notes","Type","Flower_number2","Fruit2","Total_seeds_counted","max_fruit","solo_fruit_count","seed_counted_in_solo_fruit","var_seeds","stdev_seeds","Seeds_per_fruit","PopCode2.y","Lat","Long","L","M","S"
"540","Round Lake","M5","ON.M5",2015-10-24,"1",NA,NA,"M",12,3,3,"5",5,3,1.8,1.34164078649987,0.6,"ON.M5","44.81551","-78.77971","0","0","188"
"183","Round Lake","M5","ON.M5",2015-10-24,"1",NA,NA,"M",23,15,18,"5",5,18,13.3,3.64691650576209,3.6,"ON.M5","44.81551","-78.77971","0","0","188"
"213","Round Lake","M5","ON.M5",2015-10-24,"1",NA,NA,"M",3,3,5,"3",3,5,0.333333333333333,0.577350269189626,1.66666666666667,"ON.M5","44.81551","-78.77971","0","0","188"
"310","Round Lake","M5","ON.M5",2015-10-24,"1",NA,NA,"M",90,85,24,"5",5,24,7.7,2.77488738510232,4.8,"ON.M5","44.81551","-78.77971","0","0","188"
"299","Round Lake","M5","ON.M5",2015-10-24,"1",NA,NA,"M",65,58,15,"5",5,15,16,4,3,"ON.M5","44.81551","-78.77971","0","0","188"
"223","Round Lake","M5","ON.M5",2015-10-24,"1",NA,NA,"M",20,15,41,"5",2,7,0.5,0.707106781186548,8.2,"ON.M5","44.81551","-78.77971","0","0","188"
"144","Round Lake","M5","ON.M5",2015-10-24,"1",NA,NA,"M",11,9,104,"5",5,104,508.7,22.5543787322994,20.8,"ON.M5","44.81551","-78.77971","0","0","188"
"365","Round Lake","M5","ON.M5",2015-10-24,"1",NA,NA,"M",15,7,0,"6",6,0,0,0,0,"ON.M5","44.81551","-78.77971","0","0","188"
"244","Round Lake","M5","ON.M5",2015-10-24,"1",NA,NA,"M",60,50,46,"5",2,11,0.5,0.707106781186548,9.2,"ON.M5","44.81551","-78.77971","0","0","188"
"129","Round Lake","M5","ON.M5",2015-10-24,"1",NA,"ALL LATE ABORTED SEEDS","M",65,50,0,"6",0,0,NA,NA,0,"ON.M5","44.81551","-78.77971","0","0","188"
"84","Round Lake","M5","ON.M5",2015-10-24,"1",NA,NA,"M",11,7,18,"7",7,18,8.61904761904762,2.93582145558064,2.57142857142857,"ON.M5","44.81551","-78.77971","0","0","188"
"273","Round Lake","M5","ON.M5",2015-10-24,"1",NA,NA,"M",8,0,1,"5",5,1,0.2,0.447213595499958,0.2,"ON.M5","44.81551","-78.77971","0","0","188"
"95","Round Lake","M5","ON.M5",2015-10-24,"1",NA,NA,"M",10,6,11,"5",5,11,4.7,2.16794833886788,2.2,"ON.M5","44.81551","-78.77971","0","0","188"
"303","Round Lake","M5","ON.M5",2015-10-24,"1","3","Only 1 stem in this clump with flowers in this bunch","M",6,0,0,"5",5,0,0,0,0,"ON.M5","44.81551","-78.77971","0","0","188"
"333","Round Lake","M5","ON.M5",2015-10-24,"1",NA,NA,"M",21,15,20,"5",5,20,4,2,4,"ON.M5","44.81551","-78.77971","0","0","188"
"512","Round Lake","M5","ON.M5",2015-10-24,"1",NA,NA,"M",20,19,50,"5",2,2,2,1.4142135623731,10,"ON.M5","44.81551","-78.77971","0","0","188"
"482","Round Lake","M5","ON.M5",2015-10-24,"1",NA,NA,"M",15,11,36,"8",8,36,56,7.48331477354788,4.5,"ON.M5","44.81551","-78.77971","0","0","188"
"33","Loch Garry","T12","ON.T12",2015-10-23,"1",NA,"parasites in population. Cuscuta americana","P",85,80,10,"5",5,10,20,4.47213595499958,2,"ON.T12","45.25433","-74.71934","109","14","106"
"334","Loch Garry","T12","ON.T12",2015-10-23,"1",NA,"LATE ABORTED SEEDS","P",190,180,0,"5",0,0,NA,NA,0,"ON.T12","45.25433","-74.71934","109","14","106"
"510","Loch Garry","T12","ON.T12",2015-10-23,"1","6 to 8",NA,"P",12,12,283,"6",2,76,32,5.65685424949238,47.1666666666667,"ON.T12","45.25433","-74.71934","109","14","106"
"29","Loch Garry","T12","ON.T12",2015-10-23,"1",NA,NA,"P",80,80,105,"5",1,0,NA,NA,21,"ON.T12","45.25433","-74.71934","109","14","106"
"77","Loch Garry","T12","ON.T12",2015-10-23,"1",NA,NA,"P",230,225,96,"5",5,96,98.7,9.93478736561583,19.2,"ON.T12","45.25433","-74.71934","109","14","106"
"104","Loch Garry","T12","ON.T12",2015-10-23,"1",NA,NA,"P",85,85,125,"5",1,21,NA,NA,25,"ON.T12","45.25433","-74.71934","109","14","106"
"132","Loch Garry","T12","ON.T12",2015-10-23,"stema",NA,"2 stems. This is first","P",95,95,4,"5",0,0,NA,NA,0.8,"ON.T12","45.25433","-74.71934","109","14","106"
"132","Loch Garry","T12","ON.T12",2015-10-23,"stemb",NA,"2 stems this is second","P",95,95,4,"5",0,0,NA,NA,0.8,"ON.T12","45.25433","-74.71934","109","14","106"
"20","Loch Garry","T12","ON.T12",2015-10-23,"1","8",NA,"P",28,28,15,"5",5,15,20,4.47213595499958,3,"ON.T12","45.25433","-74.71934","109","14","106"
"102","Loch Garry","T12","ON.T12",2015-10-23,"1",NA,NA,"P",75,75,257,"5",5,257,149.3,12.2188379152847,51.4,"ON.T12","45.25433","-74.71934","109","14","106"
"90","Loch Garry","T12","ON.T12",2015-10-23,"1","5",NA,"P",230,20,227,"5",5,227,34.3,5.85662018573853,45.4,"ON.T12","45.25433","-74.71934","109","14","106"
"81","Loch Garry","T12","ON.T12",2015-10-23,"1",NA,NA,"P",30,30,0,"6",0,0,NA,NA,0,"ON.T12","45.25433","-74.71934","109","14","106"
"209","Loch Garry","T12","ON.T12",2015-10-23,"1","7",NA,"P",12,11,33,"6",6,33,10.7,3.27108544675922,5.5,"ON.T12","45.25433","-74.71934","109","14","106"
"106","Loch Garry","T12","ON.T12",2015-10-23,"1","20",NA,"P",110,105,26,"5",3,15,3,1.73205080756888,5.2,"ON.T12","45.25433","-74.71934","109","14","106"
"126","Loch Garry","T12","ON.T12",2015-10-23,"1",NA,NA,"P",50,50,41,"5",0,0,NA,NA,8.2,"ON.T12","45.25433","-74.71934","109","14","106"
"133","Loch Garry","T12","ON.T12",2015-10-23,"1","4",NA,"P",45,45,88,"5",5,88,46.3,6.8044103344816,17.6,"ON.T12","45.25433","-74.71934","109","14","106"
"17","Loch Garry","T12","ON.T12",2015-10-23,"1","20",NA,"P",30,30,37,"5",1,0,NA,NA,7.4,"ON.T12","45.25433","-74.71934","109","14","106"
"65","Loch Garry","T12","ON.T12",2015-10-23,"1","4",NA,"P",65,55,24,"5",5,24,3.7,1.92353840616713,4.8,"ON.T12","45.25433","-74.71934","109","14","106"
"69","Loch Garry","T12","ON.T12",2015-10-23,"1","20",NA,"P",9,9,325,"6",6,325,1758.56666666667,41.9352675759517,54.1666666666667,"ON.T12","45.25433","-74.71934","109","14","106"
"49","Loch Garry","T12","ON.T12",2015-10-23,"1","10","parasite on plant","P",12,12,121,"5",1,4,NA,NA,24.2,"ON.T12","45.25433","-74.71934","109","14","106"
"315","Loch Garry","T12","ON.T12",2015-10-23,"1","10",NA,"P",40,38,0,"5",5,0,0,0,0,"ON.T12","45.25433","-74.71934","109","14","106"
"124","Loch Garry","T12","ON.T12",2015-10-23,"1","10","parasite on plant","P",60,60,17,"7",4,17,37.5833333333333,6.13052471924984,2.42857142857143,"ON.T12","45.25433","-74.71934","109","14","106"
"26","Loch Garry","T12","ON.T12",2015-10-23,"1","4",NA,"P",50,50,223,"5",3,101,44.3333333333333,6.65832811847939,44.6,"ON.T12","45.25433","-74.71934","109","14","106"
"513","Loch Garry","T12","ON.T12",2015-10-23,"1","5",NA,"P",205,205,128,"5",5,128,103.8,10.18822850156,25.6,"ON.T12","45.25433","-74.71934","109","14","106"
"543","Loch Garry","T12","ON.T12",2015-10-23,"1","4","ALL LATE ABORTED SEEDS","P",55,55,0,"6",6,0,0,0,0,"ON.T12","45.25433","-74.71934","109","14","106"
