"Envelope_ID","Fruit_num_counted","Total_seeds_counted","Seeds_per_fruit","seed_counted_in_solo_fruit","Seed_var","Seed_stdev","Fertilized_not_viable"
595,5,17,3.4,17,3.3,1.81659021245849,"N"
597,5,42,8.4,42,8.3,2.88097205817759,"Y"
599,1,11,11,11,NA,NA,"Y"
600,5,30,6,11,8.33333333333333,2.88675134594813,"N"
601,5,123,24.6,0,NA,NA,"N"
602,10,106,10.6,5,0.5,0.707106781186548,"Y"
603,5,63,12.6,0,NA,NA,"N"
605,5,102,20.4,0,NA,NA,"N"
606,5,54,10.8,54,9.2,3.03315017762062,"N"
608,3,136,45.3333333333333,136,206.333333333333,14.3643076176102,"N"
609,15,173,11.5333333333333,9,NA,NA,"Y"
610,5,70,14,0,NA,NA,"N"
611,5,133,26.6,133,15.8,3.97492138287036,"N"
613,5,15,3,0,NA,NA,"N"
614,7,72,10.2857142857143,0,NA,NA,"N"
616,5,59,11.8,0,NA,NA,"N"
617,21,281,13.3809523809524,0,NA,NA,"N"
620,4,110,27.5,0,NA,NA,"N"
622,6,158,26.3333333333333,158,54.6666666666667,7.39369100427294,"Y"
623,3,16,5.33333333333333,16,32,5.65685424949238,"N"
624,5,61,12.2,0,NA,NA,"N"
626,5,52,10.4,52,6.3,2.50998007960223,"N"
627,5,45,9,45,2,1.4142135623731,"Y"
629,5,78,15.6,11,0.5,0.707106781186548,"N"
630,5,33,6.6,33,3.8,1.94935886896179,"Y"
631,5,80,16,0,NA,NA,"N"
632,5,45,9,45,77.5833333333333,8.80814017448254,"Y"
634,5,51,10.2,51,15.2,3.89871773792359,"N"
635,5,38,7.6,0,NA,NA,"N"
637,4,8,2,8,8,2.82842712474619,"Y"
640,5,57,11.4,20,50,7.07106781186548,"N"
642,8,117,14.625,17,24.5,4.94974746830583,"Y"
643,5,59,11.8,59,13.2,3.63318042491699,"N"
645,5,21,4.2,3,0.5,0.707106781186548,"N"
647,3,19,6.33333333333333,19,17.3333333333333,4.16333199893227,"N"
648,5,63,12.6,63,10.3,3.20936130717624,"N"
649,5,28,5.6,28,1.3,1.14017542509914,"N"
651,1,27,27,27,NA,NA,"N"
652,7,62,8.85714285714286,62,330.333333333333,18.1750745069541,"N"
654,5,94,18.8,0,NA,NA,"Y"
655,6,60,10,60,22,4.69041575982343,"N"
656,5,21,4.2,21,12.7,3.56370593624109,"N"
657,3,5,1.66666666666667,5,1.33333333333333,1.15470053837925,"N"
658,6,72,12,72,133.3,11.5455619178973,"Y"
659,5,54,10.8,54,13.7,3.70135110466435,"N"
